,Modelo,Clasificación Energética,Mínimo,Máximo,Mínimo.1,Máximo.1
240,Volkswagen Turismos Golf 8 MY21 Golf R-Line 1.5 eTSI 110 kW (150 CV) Automatico DSG 7 vel.,,"5,7","5,7","130,0","130,0"
241,Volkswagen Turismos Golf 8 MY21 Golf R-Line 1.5 eTSI 96 kW (130 CV) Automatico DSG 7 vel.,,"5,6","5,6","127,0","127,0"
242,Volkswagen Turismos Golf 8 MY21 Golf R-Line 1.5 TSI 110 kW (150 CV) 6 vel.,,"5,8","5,8","130,0","130,0"
243,Volkswagen Turismos Golf 8 MY21 Golf R-Line 1.5 TSI 96 kW (130 CV) 6 vel.,,"5,5","5,5","125,0","125,0"
244,Volkswagen Turismos Golf 8 MY21 Golf R-Line 2.0 TDI 110 kW (150 CV) Automatico DSG 7 vel.,,"4,7","4,7","122,0","122,0"
245,Volkswagen Turismos Golf 8 MY21 Golf Style 1.5 eTSI 110 kW (150 CV) Automatico DSG 7 vel.,,"5,7","5,7","130,0","130,0"
246,Volkswagen Turismos Golf 8 MY21 Golf Style 1.5 TSI 110 kW (150 CV) 6 vel.,,"5,7","5,7","130,0","130,0"
247,Volkswagen Turismos Golf 8 MY21 Golf Style 1.5 TSI 96 kW (130 CV) 6 vel.,,"5,5","5,5","125,0","125,0"
248,Volkswagen Turismos Golf 8 MY21 Golf Style 2.0 TDI 110 kW (150 CV) Automatico DSG 7 vel.,,"4,6","4,6","122,0","122,0"
249,Volkswagen Turismos Golf 8 MY21Golf 1.0 TSI 81 kW (110 CV) 6 vel,,"5,3","5,3","120,0","120,0"
250,Volkswagen Turismos Golf 8 MY22 Golf 1.0 eTSI 81 kW (110 CV)  Automatico DSG 7 vel.,,"5,1","5,1","117,0","117,0"
251,Volkswagen Turismos Golf 8 MY22 Golf 1.0 TSI 81 kW (110 CV)  6 vel.,,"5,4","5,4","122,0","122,0"
252,Volkswagen Turismos Golf 8 MY22 Golf 2.0 TDI 85 kW (115 CV)  6 vel.,,"4,5","4,5","117,0","117,0"
253,Volkswagen Turismos Golf 8 MY22 Golf 2.0 TDI 85 kW (115 CV)  Automatico DSG 7 vel.,,"4,5","4,5","117,0","117,0"
254,Volkswagen Turismos Golf 8 MY22 Golf eHybrid 1.4 TSI Combinado: 150 kW (204 CV)  Automatico DSG 6 vel.,,"0,9","0,9","21,0","21,0"
255,Volkswagen Turismos Golf 8 MY22 Golf First ed. Sport 1.5 TSI 110 kW (150 CV)  Automatico DSG 7 vel.,,"5,7","5,7","130,0","130,0"
